Date,state
9/28/2020,South Australia
9/28/2020,Victoria
9/28/2020,Victoria
9/29/2020,South Australia
9/29/2020,Victoria
9/29/2020,New South Wales
9/29/2020,Victoria
9/30/2020,South Australia
9/30/2020,New South Wales
9/30/2020,Australian Capital Territory
10/2/2020,New South Wales
10/5/2020,Victoria
10/6/2020,Victoria
10/6/2020,Victoria
10/6/2020,Australian Capital Territory
10/6/2020,Australian Capital Territory
10/6/2020,Victoria
10/8/2020,Victoria
10/9/2020,Victoria
10/9/2020,Victoria
10/9/2020,Australian Capital Territory
10/9/2020,Australian Capital Territory
10/10/2020,New South Wales
10/12/2020,Queensland
10/12/2020,New South Wales
10/12/2020,Victoria
10/12/2020,New South Wales
10/12/2020,Western Australia
10/12/2020,Western Australia
10/13/2020,Australian Capital Territory
10/13/2020,Victoria
10/13/2020,Victoria
10/13/2020,New South Wales
10/13/2020,New South Wales
10/13/2020,New South Wales
10/15/2020,New South Wales
10/15/2020,Australian Capital Territory
10/15/2020,Australian Capital Territory
10/16/2020,Australian Capital Territory
10/16/2020,South Australia
10/16/2020,New South Wales
10/16/2020,Victoria
10/16/2020,Australian Capital Territory
10/16/2020,New South Wales
10/16/2020,Australian Capital Territory
10/16/2020,New South Wales
10/19/2020,New South Wales
10/19/2020,New South Wales
10/20/2020,New South Wales
10/20/2020,New South Wales
10/20/2020,Victoria
10/20/2020,Australian Capital Territory
10/20/2020,Victoria
10/20/2020,Australian Capital Territory
10/20/2020,New South Wales
10/21/2020,Australian Capital Territory
10/21/2020,Queensland
10/21/2020,New South Wales
10/21/2020,New South Wales
10/21/2020,New South Wales
10/21/2020,Queensland
10/21/2020,Victoria
10/21/2020,Australian Capital Territory
10/21/2020,Australian Capital Territory
10/21/2020,Western Australia
10/22/2020,New South Wales
10/22/2020,New South Wales
10/22/2020,New South Wales
10/22/2020,Australian Capital Territory
10/22/2020,Victoria
10/22/2020,Victoria
10/22/2020,Western Australia
10/22/2020,New South Wales
10/22/2020,New South Wales
10/22/2020,Victoria
10/23/2020,New South Wales
10/23/2020,Queensland
10/23/2020,Australian Capital Territory
10/27/2020,Victoria
10/27/2020,Victoria
10/27/2020,Victoria
10/27/2020,Victoria
10/28/2020,New South Wales
10/29/2020,South Australia
10/29/2020,Victoria
10/29/2020,New South Wales
10/30/2020,Victoria
10/30/2020,Queensland
10/30/2020,Queensland
10/30/2020,Queensland
10/30/2020,New South Wales
11/2/2020,New South Wales
11/2/2020,New South Wales
11/2/2020,Queensland
11/3/2020,New South Wales
11/4/2020,Victoria
11/5/2020,Victoria
11/6/2020,Victoria
11/6/2020,Victoria
11/6/2020,Victoria
11/6/2020,Victoria
11/6/2020,Australian Capital Territory
11/8/2020,New South Wales
11/9/2020,Queensland
11/9/2020,Victoria
11/9/2020,Victoria
11/9/2020,Victoria
11/9/2020,Victoria
11/9/2020,New South Wales
11/9/2020,New South Wales
11/9/2020,Australian Capital Territory
11/9/2020,Australian Capital Territory
11/9/2020,Australian Capital Territory
11/9/2020,Australian Capital Territory
11/9/2020,Queensland
11/9/2020,Queensland
11/9/2020,Queensland
11/9/2020,Queensland
11/9/2020,New South Wales
11/9/2020,New South Wales
11/9/2020,Western Australia
11/9/2020,Queensland
11/9/2020,Victoria
11/9/2020,New South Wales
11/9/2020,Victoria
11/10/2020,New South Wales
11/10/2020,Queensland
11/10/2020,Victoria
11/11/2020,Victoria
11/11/2020,South Australia
11/12/2020,Victoria
11/12/2020,Victoria
11/13/2020,New South Wales
11/13/2020,Victoria
11/13/2020,New South Wales
11/13/2020,Queensland
11/16/2020,New South Wales
11/16/2020,Victoria
11/16/2020,Victoria
11/16/2020,New South Wales
11/17/2020,New South Wales
11/17/2020,Australian Capital Territory
11/17/2020,Queensland
11/17/2020,New South Wales
11/18/2020,Victoria
11/18/2020,Victoria
11/20/2020,New South Wales
11/20/2020,New South Wales
11/20/2020,New South Wales
11/20/2020,Victoria
11/22/2020,Queensland
11/23/2020,Victoria
11/23/2020,Victoria
11/23/2020,South Australia
11/24/2020,Victoria
11/24/2020,Victoria
11/24/2020,Victoria
11/24/2020,South Australia
11/25/2020,Queensland
11/26/2020,New South Wales
11/27/2020,New South Wales
11/27/2020,New South Wales
11/30/2020,Victoria
11/30/2020,New South Wales
11/30/2020,New South Wales
11/30/2020,New South Wales
11/30/2020,Queensland
11/30/2020,Queensland
12/1/2020,Queensland
12/1/2020,New South Wales
12/3/2020,Victoria
12/4/2020,Australian Capital Territory
12/4/2020,Western Australia
12/4/2020,Western Australia
12/4/2020,Western Australia
12/8/2020,New South Wales
12/8/2020,Victoria
12/8/2020,New South Wales
12/8/2020,Victoria
12/8/2020,Victoria
12/8/2020,New South Wales
12/8/2020,Australian Capital Territory
12/8/2020,Australian Capital Territory
12/8/2020,Australian Capital Territory
12/8/2020,Australian Capital Territory
12/8/2020,Australian Capital Territory
12/8/2020,Australian Capital Territory
12/8/2020,Australian Capital Territory
12/8/2020,New South Wales
12/8/2020,Australian Capital Territory
12/9/2020,Australian Capital Territory
12/9/2020,New South Wales
12/10/2020,Australian Capital Territory
12/11/2020,New South Wales
12/14/2020,New South Wales
12/15/2020,New South Wales
12/15/2020,New South Wales
12/15/2020,Victoria
12/15/2020,New South Wales
12/15/2020,New South Wales
12/16/2020,New South Wales
12/16/2020,Victoria
12/16/2020,Queensland
12/17/2020,Victoria
12/17/2020,Victoria
12/17/2020,Victoria
12/18/2020,Victoria
12/18/2020,Queensland
12/18/2020,New South Wales
12/18/2020,Victoria
12/21/2020,New South Wales
12/21/2020,South Australia
12/21/2020,New South Wales
12/22/2020,Victoria
12/23/2020,Victoria
12/30/2020,Victoria
1/4/2021,Victoria
1/4/2021,Western Australia
1/4/2021,Western Australia
1/4/2021,Victoria
1/4/2021,Victoria
1/4/2021,Australian Capital Territory
1/5/2021,Australian Capital Territory
1/5/2021,Australian Capital Territory
1/5/2021,New South Wales
1/5/2021,New South Wales
1/5/2021,New South Wales
1/6/2021,Victoria
1/6/2021,Queensland
1/6/2021,New South Wales
1/7/2021,New South Wales
1/7/2021,New South Wales
1/8/2021,Victoria
1/9/2021,Victoria
1/10/2021,Victoria
1/11/2021,Victoria
1/11/2021,New South Wales
1/12/2021,Victoria
1/12/2021,Queensland
1/12/2021,Queensland
1/12/2021,Victoria
1/12/2021,Western Australia
1/12/2021,Victoria
1/13/2021,New South Wales
1/13/2021,Victoria
1/13/2021,New South Wales
1/13/2021,Victoria
1/15/2021,Victoria
1/15/2021,Western Australia
1/15/2021,Western Australia
1/15/2021,Western Australia
1/16/2021,New South Wales
1/16/2021,Victoria
1/18/2021,New South Wales
1/18/2021,Victoria
1/18/2021,Victoria
1/19/2021,New South Wales
1/19/2021,New South Wales
1/20/2021,Australian Capital Territory
1/20/2021,Australian Capital Territory
1/20/2021,Australian Capital Territory
1/20/2021,Victoria
1/20/2021,Queensland
1/20/2021,Queensland
1/21/2021,Tasmania
1/21/2021,Victoria
1/21/2021,Victoria
1/21/2021,Western Australia
1/22/2021,New South Wales
1/25/2021,Victoria
1/27/2021,Queensland
1/27/2021,Victoria
1/27/2021,Victoria
1/28/2021,New South Wales
1/28/2021,Queensland
1/29/2021,New South Wales
1/29/2021,New South Wales
1/29/2021,Victoria
1/31/2021,Victoria
1/31/2021,Victoria
2/1/2021,New South Wales
2/1/2021,New South Wales
2/1/2021,Victoria
2/1/2021,Victoria
2/1/2021,Victoria
2/1/2021,New South Wales
2/1/2021,Victoria
2/1/2021,Victoria
2/2/2021,New South Wales
2/3/2021,Victoria
2/4/2021,Queensland
2/4/2021,New South Wales
2/4/2021,Western Australia
2/4/2021,Victoria
2/4/2021,Victoria
2/4/2021,Queensland
2/4/2021,Western Australia
2/5/2021,South Australia
2/5/2021,Victoria
2/8/2021,Victoria
2/8/2021,New South Wales
2/8/2021,New South Wales
2/8/2021,New South Wales
2/8/2021,New South Wales
2/8/2021,Western Australia
2/9/2021,New South Wales
2/9/2021,Tasmania
2/9/2021,South Australia
2/10/2021,Western Australia
2/10/2021,New South Wales
2/10/2021,New South Wales
2/12/2021,New South Wales
2/14/2021,Victoria
2/15/2021,Victoria
2/15/2021,Victoria
2/15/2021,Queensland
2/16/2021,New South Wales
2/16/2021,Queensland
2/16/2021,Victoria
2/16/2021,Queensland
2/16/2021,Queensland
2/17/2021,New South Wales
2/17/2021,Western Australia
2/18/2021,New South Wales
2/18/2021,New South Wales
2/18/2021,Victoria
2/18/2021,New South Wales
2/18/2021,Victoria
2/18/2021,Victoria
2/18/2021,Victoria
2/19/2021,Victoria
2/19/2021,Western Australia
2/22/2021,New South Wales
2/23/2021,Victoria
2/23/2021,Victoria
2/23/2021,New South Wales
2/24/2021,New South Wales
2/24/2021,Queensland
2/24/2021,Victoria
2/24/2021,New South Wales
2/25/2021,New South Wales
2/26/2021,New South Wales
2/26/2021,New South Wales
2/26/2021,New South Wales
2/26/2021,New South Wales
2/26/2021,Victoria
2/26/2021,New South Wales
3/1/2021,New South Wales
3/1/2021,Australian Capital Territory
3/1/2021,Australian Capital Territory
3/1/2021,New South Wales
3/2/2021,New South Wales
3/2/2021,New South Wales
3/2/2021,Queensland
3/4/2021,Queensland
3/3/2021,Victoria
3/3/2021,Western Australia
3/3/2021,New South Wales
3/4/2021,New South Wales
3/4/2021,New South Wales
3/4/2021,New South Wales
3/4/2021,Victoria
3/4/2021,Victoria
3/5/2021,Western Australia
3/5/2021,Victoria
3/6/2021,New South Wales
3/8/2021,New South Wales
3/8/2021,New South Wales
3/8/2021,Victoria
3/8/2021,New South Wales
3/8/2021,New South Wales
3/8/2021,New South Wales
3/9/2021,New South Wales
3/9/2021,Victoria
3/9/2021,New South Wales
3/9/2021,Victoria
3/10/2021,Victoria
3/10/2021,Victoria
3/10/2021,New South Wales
3/10/2021,Western Australia
3/11/2021,Victoria
3/11/2021,Victoria
3/11/2021,Queensland
3/11/2021,New South Wales
3/11/2021,Queensland
3/11/2021,Queensland
3/12/2021,Victoria
3/12/2021,Victoria
3/12/2021,New South Wales
3/12/2021,Australian Capital Territory
3/12/2021,New South Wales
3/12/2021,Victoria
3/15/2021,Victoria
3/15/2021,Australian Capital Territory
3/15/2021,New South Wales
3/15/2021,Victoria
3/15/2021,Australian Capital Territory
3/15/2021,Victoria
3/15/2021,New South Wales
3/15/2021,Queensland
3/16/2021,Victoria
3/16/2021,New South Wales
3/16/2021,Victoria
3/16/2021,Victoria
3/17/2021,New South Wales
3/17/2021,New South Wales
3/18/2021,Victoria
3/18/2021,New South Wales
3/18/2021,New South Wales
3/18/2021,Victoria
3/18/2021,New South Wales
3/19/2021,Victoria
3/19/2021,Victoria
3/21/2021,South Australia
3/22/2021,South Australia
3/22/2021,Queensland
3/22/2021,New South Wales
3/22/2021,New South Wales
3/22/2021,Queensland
4/19/2021,Victoria
4/19/2021,New South Wales
4/19/2021,Queensland
3/23/2021,Victoria
3/23/2021,New South Wales
3/23/2021,New South Wales
3/23/2021,New South Wales
3/24/2021,Queensland
3/25/2021,New South Wales
3/25/2021,Victoria
3/25/2021,Victoria
3/26/2021,New South Wales
3/26/2021,Victoria
3/26/2021,South Australia
3/26/2021,Queensland
3/26/2021,Victoria
3/26/2021,New South Wales
3/26/2021,Western Australia
3/29/2021,New South Wales
3/29/2021,Victoria
3/29/2021,New South Wales
3/29/2021,Victoria
3/29/2021,Victoria
3/30/2021,New South Wales
3/30/2021,Queensland
3/30/2021,New South Wales
3/30/2021,New South Wales
3/30/2021,Western Australia
3/31/2021,Victoria
3/31/2021,New South Wales
3/31/2021,New South Wales
3/31/2021,Western Australia
3/31/2021,New South Wales
3/31/2021,Victoria
3/31/2021,Victoria
4/1/2021,New South Wales
4/1/2021,New South Wales
4/1/2021,Victoria
4/1/2021,Queensland
4/1/2021,New South Wales
4/1/2021,New South Wales
4/1/2021,Western Australia
4/1/2021,Western Australia
4/1/2021,New South Wales
4/1/2021,New South Wales
4/5/2021,Victoria
4/6/2021,New South Wales
4/6/2021,Australian Capital Territory
4/6/2021,South Australia
4/6/2021,Victoria
4/7/2021,Victoria
4/7/2021,Victoria
4/7/2021,Western Australia
4/7/2021,Australian Capital Territory
4/7/2021,Queensland
4/7/2021,Queensland
4/8/2021,Victoria
4/8/2021,New South Wales
4/8/2021,New South Wales
4/9/2021,Queensland
4/9/2021,New South Wales
4/12/2021,New South Wales
4/12/2021,New South Wales
4/12/2021,Queensland
4/12/2021,New South Wales
4/12/2021,Victoria
4/12/2021,Western Australia
4/12/2021,New South Wales
4/12/2021,New South Wales
4/13/2021,Victoria
4/13/2021,Queensland
4/13/2021,New South Wales
4/13/2021,South Australia
4/13/2021,Victoria
4/13/2021,South Australia
4/13/2021,Victoria
4/13/2021,New South Wales
4/13/2021,New South Wales
4/13/2021,Western Australia
4/14/2021,Western Australia
4/14/2021,Victoria
4/15/2021,Victoria
4/15/2021,Australian Capital Territory
4/15/2021,New South Wales
4/16/2021,New South Wales
4/16/2021,Victoria
4/16/2021,New South Wales
4/16/2021,New South Wales
4/19/2021,Victoria
4/19/2021,Western Australia
4/20/2021,New South Wales
4/20/2021,New South Wales
4/20/2021,New South Wales
4/21/2021,Victoria
4/21/2021,New South Wales
4/21/2021,New South Wales
4/21/2021,New South Wales
4/21/2021,New South Wales
4/21/2021,Australian Capital Territory
4/21/2021,Australian Capital Territory
4/21/2021,Australian Capital Territory
4/21/2021,New South Wales
4/21/2021,Australian Capital Territory
4/21/2021,New South Wales
4/22/2021,New South Wales
4/22/2021,Australian Capital Territory
4/22/2021,Queensland
4/22/2021,Victoria
4/22/2021,Australian Capital Territory
4/22/2021,Australian Capital Territory
4/22/2021,Australian Capital Territory
4/22/2021,Australian Capital Territory
4/22/2021,New South Wales
4/22/2021,Australian Capital Territory
4/22/2021,New South Wales
4/23/2021,New South Wales
4/23/2021,New South Wales
4/23/2021,Western Australia
4/23/2021,New South Wales
4/23/2021,Australian Capital Territory
4/23/2021,New South Wales
4/24/2021,New South Wales
4/26/2021,Victoria
4/26/2021,New South Wales
4/26/2021,New South Wales
4/26/2021,New South Wales
4/27/2021,Victoria
4/27/2021,Victoria
4/27/2021,Victoria
4/27/2021,New South Wales
4/27/2021,Victoria
4/27/2021,Western Australia
4/27/2021,Western Australia
4/27/2021,New South Wales
4/28/2021,New South Wales
4/28/2021,New South Wales
4/28/2021,South Australia
4/28/2021,Victoria
4/28/2021,New South Wales
4/28/2021,Victoria
4/29/2021,Australian Capital Territory
4/29/2021,Australian Capital Territory
4/29/2021,New South Wales
4/30/2021,South Australia
4/30/2021,New South Wales
4/30/2021,Victoria
4/30/2021,Victoria
4/30/2021,South Australia
4/30/2021,South Australia
4/30/2021,Queensland
4/30/2021,Queensland
4/30/2021,Victoria
4/30/2021,Victoria
4/30/2021,Australian Capital Territory
4/30/2021,Australian Capital Territory
4/30/2021,Victoria
4/30/2021,Victoria
4/30/2021,Western Australia
4/30/2021,Western Australia
4/30/2021,New South Wales
4/30/2021,New South Wales
4/30/2021,Australian Capital Territory
4/30/2021,Western Australia
4/30/2021,Australian Capital Territory
4/30/2021,New South Wales
5/1/2021,New South Wales
5/1/2021,Victoria
5/1/2021,New South Wales
5/2/2021,Victoria
5/3/2021,Victoria
5/3/2021,Victoria
5/4/2021,New South Wales
5/4/2021,New South Wales
5/4/2021,Western Australia
5/4/2021,Western Australia
5/4/2021,Queensland
5/4/2021,Victoria
5/4/2021,Victoria
5/5/2021,Victoria
5/5/2021,Western Australia
5/5/2021,Western Australia
5/5/2021,Victoria
5/5/2021,Queensland
5/5/2021,Victoria
5/5/2021,New South Wales
5/5/2021,Queensland
5/6/2021,New South Wales
5/6/2021,Victoria
5/6/2021,Victoria
5/6/2021,Victoria
5/7/2021,New South Wales
5/7/2021,Queensland
5/7/2021,Queensland
5/7/2021,South Australia
5/7/2021,South Australia
5/7/2021,Queensland
5/7/2021,Queensland
5/7/2021,Australian Capital Territory
5/7/2021,Australian Capital Territory
5/7/2021,Victoria
5/7/2021,Victoria
5/7/2021,Victoria
5/7/2021,Victoria
5/7/2021,Western Australia
5/7/2021,Western Australia
5/7/2021,New South Wales
5/7/2021,New South Wales
5/7/2021,New South Wales
5/7/2021,New South Wales
5/8/2021,Victoria
5/10/2021,Queensland
5/10/2021,New South Wales
5/10/2021,New South Wales
5/10/2021,New South Wales
5/10/2021,New South Wales
5/10/2021,Western Australia
5/10/2021,Western Australia
5/11/2021,New South Wales
5/11/2021,New South Wales
5/11/2021,Victoria
5/11/2021,Victoria
5/11/2021,Western Australia
5/11/2021,New South Wales
5/11/2021,Western Australia
5/12/2021,South Australia
5/12/2021,South Australia
5/12/2021,New South Wales
5/12/2021,New South Wales
5/12/2021,New South Wales
5/12/2021,New South Wales
5/12/2021,New South Wales
5/12/2021,New South Wales
5/12/2021,New South Wales
5/12/2021,Western Australia
5/12/2021,Victoria
5/13/2021,Queensland
5/13/2021,Victoria
5/13/2021,Victoria
5/13/2021,New South Wales
5/13/2021,Australian Capital Territory
5/13/2021,New South Wales
5/13/2021,Victoria
5/13/2021,Victoria
5/13/2021,Victoria
5/13/2021,Australian Capital Territory
5/13/2021,New South Wales
5/16/2021,Western Australia
5/13/2021,New South Wales
5/14/2021,Victoria
5/14/2021,Victoria
5/14/2021,New South Wales
5/14/2021,New South Wales
5/14/2021,New South Wales
5/14/2021,Queensland
5/15/2021,Australian Capital Territory
5/15/2021,New South Wales
5/17/2021,Victoria
5/17/2021,Victoria
5/17/2021,New South Wales
5/17/2021,Western Australia
5/18/2021,Western Australia
5/18/2021,Victoria
5/18/2021,Victoria
5/18/2021,Victoria
5/18/2021,Australian Capital Territory
5/18/2021,New South Wales
5/19/2021,New South Wales
5/19/2021,Victoria
5/19/2021,New South Wales
5/19/2021,Queensland
5/19/2021,Australian Capital Territory
5/19/2021,New South Wales
5/19/2021,Queensland
5/19/2021,Western Australia
5/19/2021,South Australia
5/20/2021,New South Wales
5/20/2021,Australian Capital Territory
5/20/2021,Victoria
5/20/2021,New South Wales
5/20/2021,Victoria
5/20/2021,New South Wales
5/20/2021,New South Wales
5/20/2021,New South Wales
5/20/2021,Queensland
5/21/2021,Victoria
5/21/2021,Victoria
5/21/2021,New South Wales
5/21/2021,Victoria
5/21/2021,Victoria
5/21/2021,New South Wales
5/21/2021,Victoria
5/21/2021,New South Wales
5/22/2021,Victoria
5/24/2021,Victoria
5/24/2021,New South Wales
5/24/2021,Victoria
5/24/2021,New South Wales
5/24/2021,Victoria
5/24/2021,Australian Capital Territory
5/24/2021,Western Australia
5/24/2021,New South Wales
5/24/2021,New South Wales
5/24/2021,Western Australia
5/25/2021,New South Wales
5/25/2021,Australian Capital Territory
5/25/2021,New South Wales
5/25/2021,Victoria
5/26/2021,Victoria
5/26/2021,Victoria
5/26/2021,New South Wales
5/26/2021,Victoria
5/26/2021,Victoria
5/26/2021,New South Wales
5/26/2021,Victoria
5/26/2021,Victoria
5/26/2021,Western Australia
5/26/2021,New South Wales
5/27/2021,New South Wales
5/27/2021,New South Wales
5/27/2021,Victoria
5/27/2021,Victoria
5/28/2021,South Australia
5/28/2021,South Australia
5/28/2021,Queensland
5/28/2021,Queensland
5/28/2021,Australian Capital Territory
5/28/2021,Australian Capital Territory
5/28/2021,Victoria
5/28/2021,Victoria
5/28/2021,Victoria
5/28/2021,Victoria
5/28/2021,Western Australia
5/28/2021,Western Australia
5/28/2021,New South Wales
5/28/2021,New South Wales
5/28/2021,New South Wales
5/28/2021,Victoria
5/28/2021,Victoria
5/28/2021,New South Wales
5/28/2021,New South Wales
5/28/2021,New South Wales
5/28/2021,New South Wales
5/28/2021,South Australia
5/28/2021,South Australia
5/29/2021,New South Wales
5/28/2021,Victoria
5/29/2021,Queensland
5/31/2021,Queensland
5/31/2021,New South Wales
5/31/2021,Victoria
5/31/2021,New South Wales
5/31/2021,Australian Capital Territory
5/31/2021,Queensland
6/1/2021,Victoria
6/1/2021,New South Wales
6/1/2021,Western Australia
6/1/2021,New South Wales
6/1/2021,New South Wales
6/2/2021,New South Wales
6/2/2021,New South Wales
6/2/2021,New South Wales
6/2/2021,Queensland
6/2/2021,Queensland
6/3/2021,New South Wales
6/3/2021,Western Australia
6/3/2021,Victoria
6/3/2021,Victoria
6/3/2021,New South Wales
6/3/2021,Victoria
6/3/2021,New South Wales
6/3/2021,New South Wales
6/3/2021,New South Wales
6/3/2021,Victoria
6/3/2021,Victoria
6/3/2021,New South Wales
6/4/2021,New South Wales
6/4/2021,South Australia
6/5/2021,New South Wales
6/7/2021,New South Wales
6/7/2021,New South Wales
6/7/2021,New South Wales
6/7/2021,New South Wales
6/7/2021,New South Wales
6/7/2021,New South Wales
6/7/2021,Western Australia
6/8/2021,New South Wales
6/8/2021,New South Wales
6/9/2021,New South Wales
6/9/2021,Queensland
6/9/2021,Queensland
6/9/2021,New South Wales
6/9/2021,New South Wales
6/9/2021,New South Wales
6/9/2021,New South Wales
6/9/2021,New South Wales
6/9/2021,Queensland
6/9/2021,Australian Capital Territory
6/10/2021,Australian Capital Territory
6/10/2021,Victoria
6/10/2021,New South Wales
6/10/2021,New South Wales
6/10/2021,New South Wales
6/11/2021,Victoria
6/11/2021,Queensland
6/11/2021,Victoria
6/11/2021,New South Wales
6/11/2021,Western Australia
6/14/2021,Queensland
6/15/2021,Australian Capital Territory
6/15/2021,Victoria
6/15/2021,Victoria
6/15/2021,Western Australia
6/15/2021,New South Wales
6/16/2021,Victoria
6/16/2021,Victoria
6/16/2021,New South Wales
6/16/2021,Victoria
6/16/2021,New South Wales
6/17/2021,Victoria
6/17/2021,Queensland
6/17/2021,Victoria
6/17/2021,Queensland
6/17/2021,Victoria
6/17/2021,New South Wales
6/18/2021,Victoria
6/18/2021,Australian Capital Territory
6/18/2021,Australian Capital Territory
6/18/2021,New South Wales
6/18/2021,New South Wales
6/21/2021,Western Australia
6/22/2021,New South Wales
6/22/2021,Queensland
6/22/2021,Queensland
6/22/2021,Victoria
6/22/2021,New South Wales
6/22/2021,Victoria
6/22/2021,New South Wales
6/22/2021,New South Wales
6/22/2021,New South Wales
6/23/2021,New South Wales
6/23/2021,Victoria
6/23/2021,New South Wales
6/23/2021,New South Wales
6/23/2021,New South Wales
6/23/2021,New South Wales
6/23/2021,Australian Capital Territory
6/23/2021,Victoria
6/24/2021,Victoria
6/24/2021,Victoria
6/24/2021,New South Wales
6/24/2021,Queensland
6/24/2021,Australian Capital Territory
6/24/2021,Victoria
6/24/2021,Victoria
6/25/2021,Victoria
6/25/2021,Victoria
6/25/2021,New South Wales
6/25/2021,Victoria
6/25/2021,New South Wales
6/27/2021,New South Wales
6/28/2021,New South Wales
6/28/2021,Victoria
6/28/2021,New South Wales
6/29/2021,New South Wales
6/29/2021,Victoria
6/29/2021,New South Wales
6/29/2021,Queensland
6/29/2021,Victoria
6/29/2021,New South Wales
6/29/2021,New South Wales
6/29/2021,New South Wales
6/29/2021,Queensland
6/29/2021,Queensland
6/29/2021,New South Wales
6/29/2021,New South Wales
6/30/2021,South Australia
6/30/2021,Western Australia
6/30/2021,Queensland
6/29/2021,Queensland
7/1/2021,Victoria
7/1/2021,New South Wales
7/1/2021,Victoria
7/1/2021,New South Wales
7/1/2021,New South Wales
7/1/2021,Victoria
7/1/2021,New South Wales
7/1/2021,Victoria
7/1/2021,New South Wales
7/2/2021,New South Wales
7/2/2021,Victoria
7/2/2021,New South Wales
7/2/2021,New South Wales
7/2/2021,Western Australia
7/5/2021,Queensland
7/5/2021,Victoria
7/5/2021,Victoria
7/5/2021,Western Australia
7/5/2021,New South Wales
7/5/2021,New South Wales
7/5/2021,Victoria
7/6/2021,New South Wales
7/6/2021,New South Wales
7/6/2021,New South Wales
7/6/2021,Victoria
7/6/2021,Queensland
7/6/2021,Queensland
7/6/2021,New South Wales
7/6/2021,South Australia
7/7/2021,Australian Capital Territory
7/7/2021,Victoria
7/7/2021,New South Wales
7/7/2021,Australian Capital Territory
7/7/2021,Queensland
7/7/2021,New South Wales
7/8/2021,Australian Capital Territory
7/8/2021,Australian Capital Territory
7/8/2021,South Australia
7/8/2021,Queensland
7/8/2021,New South Wales
7/8/2021,Victoria
7/9/2021,Australian Capital Territory
7/9/2021,Australian Capital Territory
7/9/2021,Australian Capital Territory
7/9/2021,Victoria
7/9/2021,Victoria
7/9/2021,Queensland
7/9/2021,Queensland
7/9/2021,New South Wales
7/9/2021,New South Wales
7/9/2021,New South Wales
7/9/2021,Victoria
7/10/2021,New South Wales
7/10/2021,New South Wales
7/10/2021,New South Wales
